sequence,frames,auc_update,auc_pure,success50_update,success50_pure,precision20_update,precision20_pure,fps_update,fps_pure,delta_auc
Basketball,725,0.6696,0.4911,0.2138,0.6345,0.8593,0.8676,51.0948,15.7789,0.1785
Biker,142,0.272,0.2717,0.7465,0.2535,0.4648,0.4648,49.1667,30.4501,0.00030000000000002247
Bird1,408,0.0458,0.071,0.973,0.0441,0.027,0.0882,302.3739,128.1974,-0.025199999999999993
Bird2,99,0.6111,0.6116,0.4444,0.5859,0.5556,0.5859,41.1102,16.2493,-0.000500000000000056
BlurBody,334,0.6652,0.6375,0.0479,0.8443,0.982,0.9701,31.5429,8.0211,0.027700000000000058
BlurCar1,742,0.7237,0.8574,0.0081,0.9987,0.996,0.996,34.7229,14.7125,-0.13370000000000004
BlurCar2,585,0.8207,0.8224,0.0,0.9846,1.0,0.9932,33.1217,18.7441,-0.0017000000000000348
BlurCar3,357,0.846,0.8452,0.0028,0.9972,0.9972,0.9972,44.9586,25.714,0.0008000000000000229
BlurCar4,380,0.8571,0.7259,0.0,0.9947,1.0,1.0,30.3721,9.0931,0.13119999999999998
BlurFace,493,0.7789,0.7718,0.0,1.0,1.0,1.0,35.8498,13.6548,0.007099999999999995
BlurOwl,631,0.8044,0.7763,0.0111,0.9921,0.9952,0.9921,42.4995,18.4627,0.028100000000000014
Board,698,0.601,0.5872,0.298,0.7034,0.702,0.7034,23.3847,18.0152,0.013799999999999923
Bolt,350,0.5284,0.6469,0.4829,0.9914,1.0,1.0,58.1455,19.1757,-0.11850000000000005
Bolt2,293,0.0352,0.0352,0.9898,0.0102,0.0171,0.0171,73.8119,28.1735,0.0
Box,1161,0.3391,0.3247,0.6047,0.3936,0.3953,0.3953,37.0777,15.7902,0.014400000000000024
Boy,602,0.8004,0.7946,0.015,0.9734,1.0,1.0,71.1472,39.153,0.005800000000000027
Car1,1020,0.4221,0.404,0.7892,0.2225,1.0,1.0,57.9621,25.0264,0.01809999999999995
Car2,913,0.8415,0.4062,0.0,0.4206,1.0,0.4206,60.2972,25.9541,0.4353
Car24,3059,0.4343,0.4339,0.8274,0.1726,1.0,1.0,82.1497,43.6434,0.00040000000000001146
Car4,659,0.7983,0.8237,0.0,1.0,1.0,1.0,43.9706,55.1548,-0.025399999999999978
CarDark,393,0.8779,0.8889,0.0,1.0,1.0,1.0,42.1331,20.0367,-0.01100000000000001
CarScale,252,0.3844,0.6668,0.5754,0.7103,0.6984,0.7302,60.4986,32.1251,-0.28239999999999993
ClifBar,472,0.3823,0.454,0.7246,0.3919,0.6843,0.8093,56.1132,42.1343,-0.07170000000000004
Coke,291,0.521,0.535,0.4021,0.622,0.9244,0.9175,28.9616,22.8003,-0.014000000000000012
Couple,140,0.6663,0.652,0.2143,0.7857,1.0,1.0,60.4962,31.7035,0.01429999999999998
Coupon,327,0.8985,0.9162,0.0,1.0,1.0,1.0,41.314,21.3122,-0.01770000000000005
Crossing,120,0.7123,0.7152,0.0417,0.9667,1.0,1.0,61.7488,37.2357,-0.0028999999999999027
Crowds,347,0.709,0.6297,0.0576,0.9827,1.0,1.0,54.4239,31.973,0.07929999999999993
Dancer,225,0.7041,0.7161,0.0,1.0,1.0,1.0,43.9521,24.5583,-0.01200000000000001
Dancer2,150,0.77,0.717,0.0,1.0,1.0,1.0,42.8487,20.3233,0.05300000000000005
David,471,0.2471,0.2495,0.9257,0.1104,0.2569,0.2484,40.7699,21.9689,-0.0024000000000000132
David2,537,0.8597,0.7392,0.0,0.8883,1.0,1.0,83.1858,58.4827,0.12050000000000005
David3,252,0.7809,0.7779,0.0,1.0,1.0,1.0,37.0368,21.3937,0.0030000000000000027
Deer,71,0.8085,0.8085,0.0,1.0,1.0,1.0,36.4583,19.0593,0.0
Diving,215,0.2816,0.2667,0.814,0.186,0.3721,0.3907,37.7589,34.6846,0.014900000000000024
Dog,127,0.5449,0.485,0.2835,0.3858,1.0,1.0,40.2812,23.6396,0.059900000000000064
Dog1,1350,0.8093,0.7019,0.0281,0.9993,1.0,1.0,53.5917,40.3674,0.10740000000000005
Doll,3872,0.702,0.7413,0.1005,0.993,0.9786,0.9876,33.6381,29.9605,-0.0393
DragonBaby,113,0.2088,0.1332,0.7788,0.1239,0.292,0.1327,81.5652,154.4501,0.0756
Dudek,1145,0.7965,0.7834,0.0,0.9904,0.848,0.8262,24.2972,33.8906,0.0131
FaceOcc1,892,0.554,0.5716,0.3677,0.6906,0.5291,0.7074,25.5277,13.2182,-0.01759999999999995
FaceOcc2,812,0.6955,0.7096,0.0456,0.9138,0.9138,1.0,28.7761,23.2237,-0.014100000000000001
Fish,476,0.7681,0.7827,0.0,1.0,1.0,1.0,31.1814,25.9358,-0.014599999999999946
FleetFace,707,0.5823,0.5901,0.3706,0.6322,0.5714,0.5601,30.5788,23.2908,-0.007799999999999918
Football,362,0.5928,0.5855,0.2127,0.7845,0.7928,0.7928,62.7789,34.6734,0.007299999999999973
Football1,74,0.7821,0.7899,0.0,1.0,1.0,1.0,70.309,33.389,-0.007800000000000029
Freeman1,326,0.2225,0.2209,0.8466,0.1534,0.3804,0.3804,146.9587,37.257,0.0015999999999999903
Freeman3,460,0.3536,0.3536,0.6696,0.3304,0.9043,0.9043,76.9233,34.1201,0.0
Freeman4,283,0.1552,0.1552,0.841,0.159,0.2049,0.2049,59.6486,74.8015,0.0
Girl,500,0.6489,0.661,0.148,0.888,1.0,1.0,47.2808,27.9667,-0.0121
Girl2,1500,0.0785,0.079,0.93,0.0693,0.07,0.07,40.0244,20.0381,-0.0005000000000000004
Gym,767,0.3472,0.2955,0.9505,0.0248,0.9648,0.97,42.826,28.2151,0.051700000000000024
Human2,1128,0.5474,0.3525,0.4504,0.2988,0.164,0.4858,16.6352,19.7037,0.19490000000000002
Human3,1698,0.045,0.2471,0.9741,0.3251,0.0324,0.3651,41.391,24.9708,-0.2021
Human4_2,667,0.5622,0.5712,0.2309,0.8186,0.8636,0.8636,46.8576,39.1329,-0.009000000000000008
Human5,713,0.3763,0.3767,0.6578,0.345,0.9958,0.9944,46.9455,44.4889,-0.00039999999999995595
Human6,792,0.2452,0.2834,0.774,0.226,0.5947,0.8106,45.6127,29.6463,-0.038199999999999984
Human7,250,0.7089,0.7665,0.012,0.996,1.0,1.0,40.926,23.1589,-0.057599999999999985
Human8,128,0.6373,0.5318,0.0703,0.3828,1.0,1.0,43.8072,24.0849,0.10549999999999993
Human9,305,0.5693,0.4218,0.3475,0.2852,1.0,1.0,43.2309,23.4606,0.14750000000000002
Ironman,166,0.1128,0.1041,0.9036,0.0904,0.1024,0.1145,54.6409,30.9431,0.0087
Jogging,307,0.6634,0.5958,0.0293,0.9414,0.9772,0.9772,38.0307,20.992,0.0676
Jump,122,0.076,0.0746,0.9426,0.0574,0.0574,0.0574,28.5791,18.0221,0.0013999999999999985
Jumping,313,0.727,0.6706,0.0,0.9872,1.0,0.9904,62.7604,48.8874,0.056400000000000006
KiteSurf,84,0.5158,0.3348,0.369,0.381,0.7738,0.4048,61.2219,18.5154,0.18100000000000005
Lemming,1336,0.2494,0.4575,0.7358,0.3593,0.2747,0.7972,35.5621,14.7718,-0.2081
